player,age,flag,bats,throws,height,weight,date_of_birth,experience,G_all,GS,G_batting,G_defense,G_p_app,G_1b,G_2b,G_3b,G_ss,G_lf_app,G_cf_app,G_rf_app,G_of_app,WAR,Salary,allstar_appearance
Randy Arozarena,24,cu CU,R,R,"5' 11""",185,28-Feb-95,1st,19,4,19,11,0,0,0,0,0,1,5,6,11,0.3,,
Harrison Bader,25,us US,R,R,"6' 0""",210,3-Jun-94,3,128,95,128,122,0,0,0,0,0,0,122,0,122,2.3,"$578,300 ",
John Brebbia,29,us US,L,R,"6' 1""",200,30-May-90,3,66,0,63,66,66,0,0,0,0,0,0,0,0,0.8,"$569,300 ",
Génesis Cabrera,22,do DO,L,L,"6' 2""",180,10-Oct-96,1st,13,2,13,13,13,0,0,0,0,0,0,0,0,-0.5,,
Matt Carpenter,33,us US,L,R,"6' 4""",210,26-Nov-85,9,129,106,129,108,0,4,0,107,0,0,0,0,0,1.1,"$14,750,000 ",
Paul DeJong,25,us US,R,R,"6' 0""",205,2-Aug-93,3,159,156,159,157,0,0,0,0,157,0,0,0,0,5.3,"$1,666,667 ",All-Star
Tommy Edman,24,us US,B,R,"5' 10""",180,9-May-95,1st,92,75,92,82,0,0,29,55,0,1,1,12,13,3.9,,
Junior Fernández,22,do DO,R,R,"6' 3""",215,2-Mar-97,1st,13,0,12,13,13,0,0,0,0,0,0,0,0,-0.2,,
Jack Flaherty,23,us US,R,R,"6' 4""",225,15-Oct-95,3,38,33,35,33,33,0,0,0,0,0,0,0,0,5.9,"$562,100 ",
Dexter Fowler,33,us US,B,R,"6' 5""",205,22-Mar-86,12,150,132,150,140,0,0,0,0,0,0,58,118,140,1.4,"$16,500,000 ",
Giovanny Gallegos,27,mx MX,R,R,"6' 2""",215,14-Aug-91,3,66,0,63,66,66,0,0,0,0,0,0,0,0,2.2,,
John Gant,26,us US,R,R,"6' 4""",200,6-Aug-92,4,64,0,60,64,64,0,0,0,0,0,0,0,0,0.6,"$571,300 ",
Paul Goldschmidt,31,us US,R,R,"6' 3""",220,10-Sep-87,9,161,155,161,159,0,159,0,0,0,0,0,0,0,2.6,"$14,500,000 ",
